"priority","page_type","slug","primary_query","current_title_tag","recommended_title_tag","recommended_h1","recommended_meta_description","first_paragraph_draft","confidence_tier","rewrite_status"
"1","calculator","/dumpster/size-weight-calculator/","dumpster size weight calculator","Dumpster Size & Weight Calculator: Safe Size in Minutes","Dumpster Size & Weight Calculator: Safe Size in Minutes","Dumpster Size & Weight Calculator","Estimate dumpster size weight range and overage risk in under a minute. Compare safe vs budget options and see when junk removal is the lower-risk path.","What size dumpster do I need without overage risk? Start with project, material, and quantity to get a safe size first, then compare budget and convenience routes.","High","implemented"
"2","material","/dumpster/weight/concrete/","concrete dumpster calculator","Concrete Dumpster Calculator: Size Tons and Overage Risk","Concrete Dumpster Calculator: Size Tons and Overage Risk","Concrete Dumpster Calculator","Estimate concrete disposal by size and ton range before you rent. See when clean loads or multi-haul plans are safer than one larger bin.","Need a concrete dumpster calculator answer fast? Start with weight limits, not bin volume, because concrete loads often hit haul constraints before a container looks full.","High","implemented"
"3","material","/dumpster/weight/shingles/","shingles dumpster size","Shingles Dumpster Size Calculator: Squares Tons and Risk","Shingles Dumpster Size Calculator: Squares Tons and Risk","Shingles Dumpster Size Calculator","Convert roofing squares into dumpster size and weight range with overage risk signals. Compare safer options before your tear-off starts.","How many roofing squares fit safely in a dumpster? Convert squares into a ton range first, then choose size based on overage and haul risk.","High","implemented"
"4","material","/dumpster/weight/drywall/","drywall dumpster weight","Drywall Dumpster Calculator: Sheets Size and Weight Risk","Drywall Dumpster Calculator: Sheets Size and Weight Risk","Drywall Dumpster Calculator","Estimate drywall disposal by sheet count and size with weight-risk ranges. See when a small bin stops being practical for the job.","How much drywall can a dumpster hold before fees jump? Use sheet count as input, then validate moisture and mixed-load effects on total tons.","High","implemented"
"5","material","/dumpster/weight/dirt/","dirt dumpster weight limit","Dirt Dumpster Calculator: Weight Limits Size and Overage","Dirt Dumpster Calculator: Weight Limits Size and Overage","Dirt Dumpster Calculator","See how fast dirt weight escalates by dumpster size. Check realistic limits and when heavy-debris rules become the main constraint.","Can you put dirt in a dumpster without overage trouble? You usually can, but dirt is haul-limited, so weight limits decide size more than visible volume.","High","implemented"
"6","material","/dumpster/weight/brick-block/","brick dumpster weight","Brick and Block Dumpster Calculator: Size Tons and Limits","Brick and Block Dumpster Calculator: Size Tons and Limits","Brick and Block Dumpster Calculator","Estimate brick and block disposal by dumpster size and ton range. Identify when clean-load or staged-haul strategy is the safer choice.","What dumpster size works for brick and block? Plan with heavy-debris assumptions first, because masonry loads often require controlled fill and staged pulls.","Medium","implemented"
"7","rule","/dumpster/heavy-debris-rules/","heavy debris dumpster rules","Heavy Debris Dumpster Rules: Limits Fill Line and Clean Loads","Heavy Debris Dumpster Rules: Limits Fill Line and Clean Loads","Heavy Debris Dumpster Rules","Understand heavy-debris rules for concrete dirt shingles and brick. See fill-line constraints and why included tons differ from haul limits.","What are heavy debris dumpster rules? Follow fill-line and clean-load limits first, then compare included tons and max haul constraints before pickup day.","High","implemented"
"8","limit","/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/","how many tons can a 10 yard dumpster hold","How Many Tons Can a 10-Yard Dumpster Hold? Limits and Risk","How Many Tons Can a 10-Yard Dumpster Hold? Limits and Risk","How Many Tons Can a 10-Yard Dumpster Hold?","See the difference between included tons and practical haul limits for a 10-yard dumpster. Check risk before loading heavy materials.","How many tons can a 10-yard dumpster hold? Included tons and haul limits are different, and heavy loads can fail pickup even when volume looks acceptable.","High","implemented"
"9","rule","/dumpster/can-you-put-concrete-in-a-dumpster/","can you put concrete in a dumpster","Can You Put Concrete in a Dumpster? Rules Limits and Options","Can You Put Concrete in a Dumpster? Rules Limits and Options","Can You Put Concrete in a Dumpster?","See when concrete is allowed when clean-load rules apply and when multiple smaller hauls reduce risk versus one mixed container.","Can you put concrete in a dumpster? Usually yes, but only with strict weight, fill, and clean-load rules that vary by operator.","High","implemented"
"10","rule","/dumpster/can-you-mix-concrete-and-wood-in-a-dumpster/","can you mix concrete and wood in a dumpster","Can You Mix Concrete and Wood in a Dumpster? Safer Options","Can You Mix Concrete and Wood in a Dumpster? Safer Options","Can You Mix Concrete and Wood in a Dumpster?","Learn when mixed loads cause pickup or fee issues and when clean-load separation is required. Choose the lower-risk disposal path.","Can you mix concrete and wood in one dumpster? Sometimes, but mixed heavy loads often trigger rejection or extra fees unless policy is explicitly confirmed.","High","implemented"
