rule_id,zip_start,zip_end,market_tier,priority,source,source_url,source_version_date,notes
urban_nyc_manhattan,10000,10299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/zctas.html|https://www.unitedstateszipcodes.org/new-york/,2026-03-04,"Manhattan core range."
urban_nyc_staten_island,10300,10399,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/new-york/,2026-03-04,"Staten Island core range."
urban_nyc_bronx,10400,10499,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/new-york/,2026-03-04,"Bronx core range."
urban_nyc_queens,11100,11699,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/new-york/,2026-03-04,"Queens core range."
urban_nyc_brooklyn,11200,11256,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/new-york/,2026-03-04,"Brooklyn core range."
urban_boston_core,02100,02299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/massachusetts/,2026-03-04,"Boston metro core."
urban_dc_core,20000,20599,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/washington-dc/,2026-03-04,"Washington DC core."
urban_philly_core,19100,19199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/pennsylvania/,2026-03-04,"Philadelphia core."
urban_chicago_core,60600,60799,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/illinois/,2026-03-04,"Chicago core ZIP bands."
urban_miami_core,33100,33299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/florida/,2026-03-04,"Miami and downtown logistics premium."
urban_atlanta_core,30300,30399,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/georgia/,2026-03-04,"Atlanta core."
urban_houston_core,77000,77299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/texas/,2026-03-04,"Houston city core."
urban_dallas_core,75200,75399,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/texas/,2026-03-04,"Dallas city core."
urban_austin_core,78700,78799,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/texas/,2026-03-04,"Austin core."
urban_denver_core,80200,80299,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/colorado/,2026-03-04,"Denver core."
urban_las_vegas_core,89100,89199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/nevada/,2026-03-04,"Las Vegas metro core."
urban_phoenix_core,85000,85399,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/arizona/,2026-03-04,"Phoenix metro belt."
urban_los_angeles_core,90000,90799,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/california/,2026-03-04,"Los Angeles core ZIP spread."
urban_san_diego_core,92100,92199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/california/,2026-03-04,"San Diego core."
urban_san_francisco_core,94100,94199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/california/,2026-03-04,"San Francisco core."
urban_east_bay_core,94600,94799,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/california/,2026-03-04,"East Bay core."
urban_san_jose_core,95000,95199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/california/,2026-03-04,"San Jose and South Bay core."
urban_seattle_core,98100,98199,urban,10,CENSUS_ZCTA+USZIP_REFERENCE,https://www.unitedstateszipcodes.org/washington/,2026-03-04,"Seattle core."
