"priority","slug","page_type","primary_query","secondary_query","intent_summary","roi_tier","launch_wave"
"1","/dumpster/size-weight-calculator/","calculator","dumpster size weight calculator","what size dumpster do i need","core decision engine entry for size plus weight plus overage","highest","wave_1"
"2","/dumpster/weight/concrete/","material","concrete dumpster calculator","can you put concrete in a dumpster","heavy material money page tied to overage and feasibility","highest","wave_1"
"3","/dumpster/weight/shingles/","material","shingles dumpster size","roofing squares to dumpster size","roofing weight-first decision entry with converter handoff","highest","wave_1"
"4","/dumpster/weight/drywall/","material","drywall dumpster weight","drywall sheets to dumpster size","unit-intent bridge for sheet count to tons risk","highest","wave_1"
"5","/dumpster/weight/dirt/","material","dirt dumpster weight limit","heavy debris dumpster rules","high-risk dense debris intent with rule crossover","highest","wave_1"
"6","/dumpster/weight/brick-block/","material","brick dumpster weight","can you put brick in a dumpster","masonry cluster expansion after core heavy pages","medium","wave_3"
"7","/dumpster/heavy-debris-rules/","rule","heavy debris dumpster rules","heavy debris fill line rules","core friction-removal page for rule confidence","highest","wave_1"
"8","/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/","limit","how many tons can a 10 yard dumpster hold","10 yard dumpster weight limit","limit intent page separating included tons vs haul cap","highest","wave_1"
"9","/dumpster/can-you-put-concrete-in-a-dumpster/","rule","can you put concrete in a dumpster","concrete clean load dumpster","allowed-not-allowed rule intent before booking","highest","wave_1"
"10","/dumpster/can-you-mix-concrete-and-wood-in-a-dumpster/","rule","can you mix concrete and wood in a dumpster","heavy debris mixed load rules","mixing rule intent tied to rejection and extra fee risk","highest","wave_1"
"11","/dumpster/fill-line-rules-for-heavy-debris/","rule","heavy debris fill line rules","overfilled dumpster fees","pickup refusal prevention support page","medium","wave_3"
"12","/dumpster/dumpster-vs-junk-removal/","comparison","dumpster vs junk removal","junk removal vs dumpster cost","high-monetization comparison intent with decision table","highest","wave_1"
"13","/dumpster/bagster-vs-dumpster/","comparison","bagster vs dumpster","bagster weight limit","secondary comparison intent with capacity constraints","high","wave_2"
"14","/dumpster/one-20-yard-vs-two-10-yard/","comparison","one 20 yard vs two 10 yard dumpster","two 10 yard dumpsters vs one 20 yard","advanced heavy-load strategy comparison","medium","wave_3"
"15","/dumpster/size/bathroom-remodel/","project","bathroom remodel dumpster size","bathroom remodel dumpster size with tile","project preset page with heavy tile branching","high","wave_2"
"16","/dumpster/size/roof-tear-off/","project","roof tear off dumpster size","roofing squares dumpster size","project-plus-conversion bridge for roofing jobs","high","wave_2"
"17","/dumpster/size/deck-removal/","project","deck removal dumpster size","deck demolition dumpster size","project intent with material moisture and bulk variation","high","wave_2"
"18","/dumpster/size/garage-cleanout/","project","garage cleanout dumpster size","garage cleanout junk removal vs dumpster","broad project page with comparison crossover","medium","wave_3"
"19","/dumpster/size/kitchen-remodel/","project","kitchen remodel dumpster size","kitchen remodel dumpster size cabinets","project cluster expansion with mixed material risk","medium","wave_3"
"20","/dumpster/pickup-truck-loads-to-dumpster-size/","unit","pickup truck loads to dumpster size","how many pickup loads in a 10 yard dumpster","strong real-world conversion intent for planning","highest","wave_1"
