url_or_pattern,current_state,recommended_bucket,rationale,next_action,indexing_directive
/dumpster/size-weight-calculator,implemented,KEEP,canonical decision hub,retain as central hub route,index
/dumpster/heavy-debris-rules,implemented,KEEP,high-intent risk/rule page,retain and strengthen with source-backed rule cards,index
/dumpster/weight/{materialId},implemented dynamic,REWRITE,indexing is too broad and risks thin duplication,restrict to mapped high-ROI slugs and enrich template,index only selected slugs
/dumpster/size/{projectId},implemented dynamic,REWRITE,slug conventions and intent boundaries are inconsistent,normalize slugs and improve scenario differentiation,index only mapped phase slugs
/dumpster/material-guides,implemented,REWRITE,broad hub risks informational drift,convert to routing-only decision hub,noindex if still broad
/dumpster/project-guides,implemented,REWRITE,broad hub risks informational drift,convert to routing-only decision hub,noindex if still broad
/dumpster/answers/{projectId}/{materialId}/{intent},implemented dynamic,NOINDEX,combinatorial intent pages can cannibalize and thin out quality,remove from sitemap and set noindex,noindex
/dumpster/estimate/{estimateId},implemented,NOINDEX,session/share page already non-indexable,keep noindex header,noindex
/city|/zip|/near-me patterns,not implemented,DO NOT BUILD,doorway/mass-page risk,block in roadmap and backlog,do not create
/glossary|encyclopedia broad guides,not implemented,DO NOT BUILD,low ROI and intent drift,defer indefinitely,do not create
