priority,page_type,slug,primary_intent,secondary_intent,primary_query,secondary_query,title_tag,meta_description,h1,primary_cta,secondary_cta,indexing,status,build_wave,notes
1,calculator,/dumpster/size-weight-calculator/,decision,comparison,dumpster size weight calculator,what size dumpster do i need,Dumpster Size & Weight Calculator: Safe Size in Minutes,Estimate dumpster size weight range and overage risk in under a minute. Compare safe vs budget options and see when junk removal is the lower-risk path.,Dumpster Size & Weight Calculator,See your safest dumpster size,Compare dumpster vs junk removal,index,build_now,wave_1,canonical hub
2,material,/dumpster/weight/concrete/,material,risk,concrete dumpster calculator,can you put concrete in a dumpster,Concrete Dumpster Calculator: Size Tons and Overage Risk,Estimate concrete disposal by size and ton range before you rent. See when clean loads or multi-haul plans are safer than one larger bin.,Concrete Dumpster Calculator,Check concrete dumpster size,See concrete rules,index,build_now,wave_1,high ROI
3,material,/dumpster/weight/shingles/,material,unit-intent,shingles dumpster size,roofing squares to dumpster size,Shingles Dumpster Size Calculator: Squares Tons and Risk,Convert roofing squares into dumpster size and weight range with overage risk signals. Compare safer options before your tear-off starts.,Shingles Dumpster Size Calculator,Check roofing dumpster size,Use roofing square converter,index,build_now,wave_1,roofing intent
4,material,/dumpster/weight/drywall/,material,unit-intent,drywall dumpster weight,drywall sheets to dumpster size,Drywall Dumpster Calculator: Sheets Size and Weight Risk,Estimate drywall disposal by sheet count and size with weight-risk ranges. See when a small bin stops being practical for the job.,Drywall Dumpster Calculator,Check drywall dumpster size,See drywall sheet converter,index,build_now,wave_1,unit bridge
5,material,/dumpster/weight/dirt/,material,risk,dirt dumpster weight limit,heavy debris dumpster rules,Dirt Dumpster Calculator: Weight Limits Size and Overage,See how fast dirt weight escalates by dumpster size. Check realistic limits and when heavy-debris rules become the main constraint.,Dirt Dumpster Calculator,Check dirt dumpster size,See heavy-debris rules,index,build_now,wave_1,high risk query
6,material,/dumpster/weight/brick-block/,material,risk,brick dumpster weight,can you put brick in a dumpster,Brick and Block Dumpster Calculator: Size Tons and Limits,Estimate brick and block disposal by dumpster size and ton range. Identify when clean-load or staged-haul strategy is the safer choice.,Brick and Block Dumpster Calculator,Check brick dumpster size,See heavy-debris rules,index,build_later,wave_3,masonry cluster
7,rule,/dumpster/heavy-debris-rules/,rule,limit,heavy debris dumpster rules,heavy debris fill line rules,Heavy Debris Dumpster Rules: Limits Fill Line and Clean Loads,Understand heavy-debris rules for concrete dirt shingles and brick. See fill-line constraints and why included tons differ from haul limits.,Heavy Debris Dumpster Rules,Check heavy-debris risk,Start calculator,index,build_now,wave_1,cluster hub
8,limit,/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/,limit,risk,how many tons can a 10 yard dumpster hold,10 yard dumpster weight limit,How Many Tons Can a 10-Yard Dumpster Hold? Limits and Risk,See the difference between included tons and practical haul limits for a 10-yard dumpster. Check risk before loading heavy materials.,How Many Tons Can a 10-Yard Dumpster Hold?,Check if a 10-yard is enough,See heavy-debris rules,index,build_now,wave_1,high intent
9,rule,/dumpster/can-you-put-concrete-in-a-dumpster/,rule,material,can you put concrete in a dumpster,concrete clean load dumpster,Can You Put Concrete in a Dumpster? Rules Limits and Options,See when concrete is allowed when clean-load rules apply and when multiple smaller hauls reduce risk versus one mixed container.,Can You Put Concrete in a Dumpster?,Check concrete options,See concrete calculator,index,build_now,wave_1,friction remover
10,rule,/dumpster/can-you-mix-concrete-and-wood-in-a-dumpster/,rule,comparison,can you mix concrete and wood in a dumpster,heavy debris mixed load rules,Can You Mix Concrete and Wood in a Dumpster? Safer Options,Learn when mixed loads cause pickup or fee issues and when clean-load separation is required. Choose the lower-risk disposal path.,Can You Mix Concrete and Wood in a Dumpster?,See safer disposal option,See heavy-debris rules,index,build_now,wave_1,long-tail rule
11,rule,/dumpster/fill-line-rules-for-heavy-debris/,rule,risk,heavy debris fill line rules,overfilled dumpster fees,Heavy Debris Fill Line Rules: Avoid Refusals and Extra Fees,See why heavy debris cannot always be loaded to the top and what to confirm before pickup to avoid refusals or overfill charges.,Heavy Debris Fill Line Rules,Check heavy-debris rules,Start calculator,index,build_later,wave_3,supporting rule page
12,comparison,/dumpster/dumpster-vs-junk-removal/,comparison,decision,dumpster vs junk removal,junk removal vs dumpster cost,Dumpster vs Junk Removal: Which Costs Less for Heavy Debris?,Compare dumpster rental and junk removal by load size labor and urgency. Find the safer lower-cost path for your cleanup scenario.,Dumpster vs Junk Removal,Compare your options,Start calculator,index,build_now,wave_1,high monetization
13,comparison,/dumpster/bagster-vs-dumpster/,comparison,limit,bagster vs dumpster,bagster weight limit,Bagster vs Dumpster: Weight Limits Cost and Best Fit,See when a bagster is enough and when a roll-off dumpster is safer. Compare capacity limits weight risk and total cost tradeoffs.,Bagster vs Dumpster,Compare bagster vs dumpster,See if a 10-yard is enough,index,build_now,wave_2,comparison cluster
