entity_type,entity_key,data_field,value_low,value_high,unit,conditions,geography_scope,source_tier,source_type,publisher,source_url,publish_or_access_date,confidence,target_pages,query_used,notes,requires_manual_review,last_verified_by,last_verified_date
material,concrete,weight_per_cubic_yard,3780,4050,lbs_per_cubic_yard,"normal-weight concrete baseline; broken concrete can be lower",national,1,government_plus_industry,"Iowa DOT | Dumpsters.com","https://ia.iowadot.gov/erl/current/IM/content/340.htm | https://www.dumpsters.com/concrete-weight-calculator",2026-03-02,Medium,"/dumpster/weight/concrete/ | /dumpster/can-you-put-concrete-in-a-dumpster/","site:.gov normal weight concrete lb per cubic foot; site:dumpsters.com concrete weight calculator","Iowa DOT normal-weight range aligns with ~3780-4050 lbs/yd3; provider source adds broken-vs-solid caveat",TRUE,codex,2026-03-02
material,drywall,weight_per_sheet,40,70.4,lbs_per_4x8_sheet,"derived from lb/sqft product specs: ~1.25 (1/2 ultralight) to ~2.2 (5/8 firecode)",national,2,manufacturer,"USG","https://www.usg.com/content/usgcom/en/products/walls/drywall/panels/sheetrock-ultralight-panels-firecode-x.141010.html | https://www.usg.com/content/usgcom/en/products/walls/drywall/panels/sheetrock-panels-firecode-core.141020.html",2026-03-02,High,"/dumpster/weight/drywall/ | /dumpster/drywall-sheets-to-dumpster-size/","site:usg.com drywall panel nominal weight lb/sq ft","Converted to per-sheet values for calculator-friendly unit intent",TRUE,codex,2026-03-02
material,asphalt_shingles,weight_per_roofing_square,200,300,lbs_per_roofing_square,"3-tab ~200 lbs/square; architectural ~240; premium can run higher",national,2,manufacturer,"IKO","https://www.iko.com/na/blog/how-many-shingles-in-a-bundle/",2026-03-02,Medium,"/dumpster/weight/shingles/ | /dumpster/roofing-squares-to-dumpster-size/","site:iko.com shingles bundle square weight","Use range output and add layer-count caveat in page copy",TRUE,codex,2026-03-02
policy,10_yard,included_tons,1,2,tons,"included tons are pricing policy and vary by market/provider",national,3,national_provider,"Dumpsters.com | Budget Dumpster","https://www.dumpsters.com/sizes/10-yard-dumpster | https://www.budgetdumpster.com/resources/dumpster-weight-limit.php",2026-03-02,High,"/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/ | /dumpster/size-weight-calculator/","site:dumpsters.com 10 yard dumpster included tons; site:budgetdumpster.com 10 yard included tons","Keep separate from max haul tons in content and table labels",TRUE,codex,2026-03-02
policy,10_yard,max_haul_tons,10,10,tons,"operational hard-cap signal; heavy debris still may require partial fill",national,3,national_provider,"Budget Dumpster | Dumpsters.com","https://www.budgetdumpster.com/resources/dumpster-weight-limit.php | https://www.dumpsters.com/sizes/10-yard-dumpster",2026-03-02,Medium,"/dumpster/how-many-tons-can-a-10-yard-dumpster-hold/ | /dumpster/heavy-debris-rules/","site:budgetdumpster.com dumpster max weight limit; site:dumpsters.com 10 yard weight capacity","Policy wording differs by provider; keep caveat language",TRUE,codex,2026-03-02
rule,concrete,clean_load_required,often_required,varies_by_hauler,policy_flag,"concrete and dirt often require separation; mixed loads can be rejected",national,3,national_provider,"Dumpsters.com","https://www.dumpsters.com/what-can-you-put-in-a-dumpster | https://www.dumpsters.com/concrete-weight-calculator",2026-03-02,Medium,"/dumpster/can-you-put-concrete-in-a-dumpster/ | /dumpster/can-you-mix-concrete-and-wood-in-a-dumpster/","site:dumpsters.com can you put concrete in a dumpster clean load","Use yes/no/depends framing and require vendor-checklist block",TRUE,codex,2026-03-02
rule,heavy_debris,fill_line_rule,partway_only,below_fill_line,policy_text,"heavy debris should be loaded only partway and below marked fill line",national,3,national_provider,"Dumpsters.com | Budget Dumpster","https://www.dumpsters.com/how-to-rent-a-dumpster/top-5-things-you-need-to-know | https://www.budgetdumpster.com/resources/overfilled-dumpster-fees.php",2026-03-02,Medium,"/dumpster/heavy-debris-rules/ | /dumpster/fill-line-rules-for-heavy-debris/","site:dumpsters.com fill line heavy debris; site:budgetdumpster overfilled dumpster fees","Avoid unsupported exact ratio claims unless provider-specific values are cited",TRUE,codex,2026-03-02
comparison,dumpster_vs_junk_removal,cost_inversion_trigger,small_urgent_labor_constrained,large_multi_day_diy_friendly,scenario_rule,"junk removal favors convenience and speed; dumpster favors larger loads and self-managed labor",national,3,national_provider,"Dumpsters.com","https://www.dumpsters.com/dumpster-rental-vs-junk-removal",2026-03-02,Medium,"/dumpster/dumpster-vs-junk-removal/","site:dumpsters.com dumpster rental vs junk removal cost","Provider cites national average dumpster and quarter-truck junk-removal ranges; treat as directional trigger",TRUE,codex,2026-03-02
conversion,pickup_truck_loads_to_dumpster,range_mapping,3,12,pickup_loads_for_10_to_40yd,"10yd~3, 20yd~6, 30yd~9, 40yd~12 pickup loads",national,3,industry_provider,"Dumpsters.com","https://www.dumpsters.com/sizes",2026-03-02,High,"/dumpster/pickup-truck-loads-to-dumpster-size/ | /dumpster/size-weight-calculator/","site:dumpsters.com dumpster sizes pickup truck loads","Use as baseline mapping and preserve uncertainty note for packing efficiency",TRUE,codex,2026-03-02
conversion,roofing_squares_to_dumpster,range_mapping,architectural_lt_40sq_to_1,architectural_60_to_80sq_to_3,squares_to_dumpsters,"architectural shingles: <40 squares often one roofing dumpster; 40-60 two; 60-80 three; 3-tab can differ",national,2,manufacturer_plus_provider,"IKO | Dumpsters.com","https://www.iko.com/na/blog/how-many-shingles-in-a-bundle/ | https://www.dumpsters.com/roofing-dumpsters/roof-shingle-weight-calculator",2026-03-02,Medium,"/dumpster/roofing-squares-to-dumpster-size/ | /dumpster/weight/shingles/ | /dumpster/size/roof-tear-off/","site:iko.com shingles square weight; site:dumpsters.com roof shingle weight calculator","Layer count and product type can materially change mapping; include scenario toggles",TRUE,codex,2026-03-02
